zipcode,homeowner dummy,NUMCHLD,gender dummy,WEALTH,HV,Icmed,Icavg,NUMPROM,MAXRAMNT,totalmonths,Donor
3,1,1,0,8,568,184,216,21,12,31,0
4,0,1,0,5,620,388,405,52,15,35,0
3,1,1,0,0,314,165,207,76,25,37,0
5,0,1,0,8,4347,410,454,33,10,31,0
5,0,1,0,8,470,300,324,29,20,31,0
5,1,1,1,1,835,310,364,70,6,34,0
5,1,1,0,5,1772,418,492,99,21,17,1
5,0,1,1,8,1000,468,506,28,10,29,0
5,1,1,0,8,4138,787,835,37,13,29,0
5,1,1,1,3,1229,359,490,39,15,34,0
4,0,1,1,9,4135,805,880,65,15,37,0
5,1,1,1,5,971,347,375,50,10,30,1
4,1,1,0,3,596,279,353,68,7,29,0
5,1,1,1,7,1060,344,390,82,15,32,1
5,1,1,1,1,634,344,362,58,15,31,1
3,1,1,1,8,567,379,421,21,12,28,1
2,1,1,0,8,1046,521,576,30,12,28,0
5,0,1,1,4,761,485,511,51,12,32,0
5,1,1,1,8,1772,592,688,15,15,37,0
3,0,1,0,8,436,194,245,30,15,33,0
5,0,1,0,8,2483,627,668,49,50,30,0
5,1,1,0,9,1591,675,693,68,15,19,0
5,1,1,1,1,1366,250,276,55,10,28,1
5,1,1,1,8,5790,1124,1045,20,10,31,0
4,1,1,1,8,1165,563,607,69,25,28,1
2,0,1,0,8,660,308,329,53,14,33,0
2,1,1,1,8,982,549,533,66,14,31,0
4,1,1,1,8,1732,603,653,13,20,36,0
4,1,1,0,8,1019,389,473,21,16,37,0
2,1,1,0,8,597,459,475,23,10,31,0
2,0,1,0,9,1516,597,668,61,40,29,0
3,1,1,0,4,702,324,357,52,10,33,0
3,1,1,0,4,578,376,399,86,5,30,0
3,1,1,1,7,992,524,563,63,20,21,1
5,1,1,0,6,643,363,423,56,7,28,0
4,1,1,1,2,359,221,237,61,20,36,0
5,1,1,0,8,3408,581,632,21,20,33,0
4,1,1,1,8,1080,521,529,21,15,32,0
2,1,1,1,8,834,371,408,35,37,37,0
4,1,1,0,5,437,354,356,83,10,28,0
5,0,1,1,8,2124,526,554,28,20,31,0
5,0,1,1,8,1505,359,445,47,11,28,0
5,1,1,1,8,1531,305,351,19,30,37,0
5,0,1,1,8,1631,331,400,24,10,28,0
5,1,1,1,8,1473,332,370,32,15,28,1
3,1,1,1,1,639,209,259,72,12,36,0
4,0,1,1,8,1305,530,597,16,25,30,0
2,1,1,0,8,457,253,285,68,5,32,0
4,1,1,1,3,806,347,354,76,15,31,0
3,0,1,0,3,349,302,324,55,7,30,0
2,1,1,1,3,525,277,278,52,10,28,1
3,1,1,1,8,306,181,204,21,35,29,1
3,0,1,0,5,698,335,348,59,15,33,0
5,1,1,1,8,910,245,370,72,15,33,1
2,0,1,1,1,550,296,304,101,20,23,1
5,1,1,1,8,2635,516,535,19,30,37,0
4,0,1,1,5,422,290,319,66,16,31,0
5,1,1,1,8,4218,711,762,54,5,29,0
4,0,1,1,8,567,279,327,24,16,35,0
2,1,1,0,8,1586,762,823,21,16,37,0
3,0,1,0,8,745,438,446,54,12,26,0
5,1,1,1,8,578,258,315,22,20,37,1
5,0,1,0,8,3361,719,760,17,25,37,0
3,0,1,0,8,625,368,489,34,10,32,0
2,1,1,0,8,1115,349,465,21,20,33,0
5,1,3,1,8,2968,590,631,74,15,19,0
2,1,1,1,7,645,377,362,82,10,17,0
5,1,1,0,8,869,304,410,26,10,32,0
3,1,1,0,8,512,289,271,34,15,32,0
5,0,1,0,8,2194,464,506,43,30,23,0
4,1,1,0,0,250,164,228,57,7,28,0
5,1,1,0,4,1723,366,427,67,20,36,0
3,1,1,1,5,573,315,367,70,15,37,0
4,1,1,0,9,840,522,561,80,9,30,0
4,0,1,0,5,622,339,377,87,17,23,0
5,1,1,1,0,913,239,288,69,50,37,1
5,0,1,0,8,2827,616,620,40,19,30,0
3,1,1,1,8,711,465,495,48,10,31,0
5,1,1,1,8,2810,477,541,29,6,31,0
5,1,1,1,8,1969,531,563,16,20,36,1
5,0,1,1,0,2582,148,207,52,50,37,0
5,1,1,1,8,3850,583,667,33,16,31,1
3,1,1,1,5,953,383,388,49,10,33,0
3,0,2,1,8,623,379,388,43,9,29,0
4,1,1,0,8,921,493,527,77,15,29,0
5,0,1,0,8,1007,330,366,18,25,37,0
5,1,1,1,8,921,386,385,37,20,31,0
5,1,2,1,6,1541,488,497,69,13,30,0
5,1,1,1,9,1523,374,376,72,10,31,0
5,1,1,0,8,422,250,320,24,12,29,0
3,1,1,0,8,504,311,315,23,15,36,0
4,1,1,0,8,437,313,363,15,20,37,0
3,0,1,1,4,383,296,336,32,16,36,0
3,0,1,1,8,332,399,403,24,11,29,0
2,1,1,0,8,561,268,292,25,10,32,0
5,0,1,1,1,761,236,285,79,10,28,0
4,1,1,1,8,3984,1500,1125,35,24,36,0
4,1,1,0,8,869,541,602,69,7,35,0
3,0,1,0,2,674,259,327,36,12,30,0
5,1,1,0,6,2441,474,512,33,12,35,0
5,1,1,1,8,2505,502,580,29,20,20,1
2,0,1,1,3,497,267,325,66,10,29,1
5,1,1,1,7,535,363,386,53,35,33,0
2,1,1,0,8,1311,363,410,15,20,37,0
4,1,1,1,9,2130,724,791,73,25,36,0
5,0,1,1,8,1596,171,218,47,6,17,1
2,1,1,1,8,1011,441,483,29,7,33,0
3,1,1,0,5,627,433,407,56,12,34,0
4,1,1,1,8,702,457,510,105,15,17,0
3,0,1,0,8,409,294,337,55,6,30,0
5,1,1,0,7,1749,624,685,59,7,28,0
3,1,1,0,4,679,432,448,77,10,37,0
5,1,1,1,8,824,290,375,49,5,30,1
5,1,1,0,8,1324,568,599,36,10,31,0
3,1,1,1,5,466,356,375,75,25,28,0
2,1,1,0,9,3538,759,817,135,15,18,0
5,0,1,0,8,1692,388,440,57,12,30,0
2,1,1,0,8,2088,560,635,17,22,29,0
2,0,2,0,3,931,435,477,43,10,31,0
2,1,1,0,5,1430,336,457,58,10,34,0
5,0,1,1,8,2809,657,718,21,10,28,0
3,0,1,0,8,610,360,393,64,15,32,0
5,1,1,1,8,5177,845,892,24,16,36,0
5,1,1,0,8,2962,613,709,64,15,28,0
2,1,1,1,8,409,244,285,43,25,26,0
2,0,1,1,8,1172,480,534,31,15,30,0
2,1,1,1,3,489,290,314,68,15,28,0
3,1,1,1,4,718,308,332,68,5,30,1
5,1,1,0,1,1348,361,454,98,15,19,0
5,1,1,1,0,414,190,197,76,15,29,0
2,0,1,0,5,379,238,250,77,10,29,0
3,0,1,0,7,1122,441,545,83,17,37,0
5,1,1,1,8,1030,291,307,17,20,36,1
3,1,1,0,8,721,423,486,33,6,29,0
4,1,1,0,6,791,360,393,63,15,30,0
3,1,1,0,3,379,220,255,44,10,37,0
5,1,1,1,4,2835,545,570,64,12,34,1
5,1,1,0,9,3014,530,640,69,5,30,0
3,1,1,1,9,1174,582,619,64,7,28,1
3,0,1,1,5,708,460,567,60,12,34,0
2,1,1,0,4,543,282,335,77,7,32,0
4,1,1,0,8,600,277,307,21,12,30,0
5,1,1,0,6,2080,525,533,58,12,28,0
5,1,1,1,8,2015,783,787,21,16,37,0
2,1,1,0,8,877,454,482,16,20,37,0
3,1,1,0,1,321,232,267,42,15,37,0
4,1,1,1,3,878,415,430,58,7,31,1
3,1,1,0,8,654,363,393,71,15,30,0
3,1,1,0,8,823,462,536,23,20,37,0
2,0,2,1,8,841,464,498,29,10,29,1
3,1,1,1,2,345,257,271,45,10,29,0
5,1,2,1,8,1198,556,590,60,10,34,0
5,0,1,1,8,594,400,411,108,20,28,0
3,1,1,1,5,598,363,420,46,25,30,0
3,0,1,1,8,1147,439,529,95,10,30,0
5,0,1,1,8,2492,358,377,62,25,17,0
4,1,1,1,9,976,578,563,70,25,37,1
5,1,1,0,8,938,492,536,20,20,31,0
5,0,1,1,0,643,298,376,76,20,36,0
5,1,1,0,1,865,262,328,53,20,37,0
2,1,2,0,8,1613,516,572,26,40,32,0
2,1,1,1,8,903,457,503,63,13,31,1
5,0,1,0,8,661,291,334,15,20,37,0
4,1,1,1,8,782,323,357,16,12,29,0
5,1,1,1,7,1113,483,505,59,12,36,0
3,1,1,0,4,805,318,344,74,15,33,0
5,1,1,1,8,2721,208,282,24,32,31,0
5,0,1,1,8,729,390,424,48,20,28,1
2,0,1,0,6,1522,388,453,56,12,29,0
5,1,1,0,8,3695,452,491,51,8,28,0
5,1,3,0,6,2932,612,656,38,17,35,0
5,1,1,0,8,1086,382,440,22,15,37,0
3,1,1,1,8,687,365,463,32,6,31,1
5,0,1,0,3,453,267,277,57,12,28,0
3,0,1,1,8,812,425,464,57,25,36,0
5,0,1,0,8,1557,317,393,32,7,28,0
2,1,1,0,8,982,399,446,29,15,32,0
5,1,1,0,4,1157,405,422,35,13,31,0
5,1,1,0,8,1464,308,380,28,10,28,0
2,1,1,1,2,417,251,240,43,10,31,1
5,1,1,0,5,1760,388,485,68,20,37,0
5,1,1,0,8,3002,552,627,68,10,28,0
4,1,1,1,5,486,321,353,83,10,28,1
3,0,1,0,2,335,266,286,30,10,28,0
4,1,1,0,8,1869,804,833,30,8,30,0
5,0,1,1,8,652,266,377,24,15,37,0
2,1,1,1,8,843,314,328,21,11,29,1
2,1,1,0,1,409,206,256,93,15,28,0
3,1,1,0,4,633,322,343,79,17,31,0
5,1,2,1,6,2016,566,632,64,20,35,0
3,1,1,1,9,933,555,597,42,15,33,0
2,0,1,1,8,778,374,419,23,10,31,0
2,1,1,0,3,772,269,309,108,35,29,0
5,0,1,1,8,765,361,393,26,16,29,1
4,0,1,0,5,587,308,347,64,20,17,0
2,1,1,1,4,1368,318,499,51,20,30,1
3,0,1,1,8,561,368,383,43,100,37,1
4,1,1,1,8,1275,738,799,21,20,36,0
5,1,1,0,8,771,344,339,25,13,28,0
2,1,1,1,6,871,371,422,63,14,30,0
3,1,1,0,8,665,501,534,31,20,28,0
5,1,2,1,9,1014,609,671,51,25,30,1
5,1,1,0,8,2203,561,569,24,20,33,0
2,1,1,1,4,581,267,269,57,17,28,0
3,1,1,1,7,637,317,338,83,14,17,1
5,1,1,0,7,1634,522,526,102,25,30,0
5,1,1,1,4,1623,550,564,55,13,31,0
5,1,1,0,8,1214,475,543,29,15,30,0
3,0,1,1,8,1078,323,398,69,7,31,0
5,1,1,0,1,503,229,299,62,7,32,0
4,1,1,0,8,1143,446,549,17,25,37,0
5,1,1,0,8,1479,436,463,23,15,34,0
3,1,1,0,9,1445,686,703,95,25,25,0
4,1,1,1,8,709,512,526,68,20,37,0
5,1,1,1,1,1351,426,429,71,25,19,1
4,0,1,1,8,1286,445,527,25,15,36,0
5,1,1,1,8,2847,494,551,21,20,34,0
3,0,1,1,4,720,321,357,46,20,36,0
5,1,1,0,8,3111,347,380,34,20,33,0
5,1,1,1,6,769,426,406,51,16,37,1
2,1,1,1,7,888,363,383,78,10,28,0
3,0,1,1,5,1058,264,329,74,12,31,1
3,1,1,0,5,838,397,409,81,23,30,0
5,1,1,1,8,852,372,454,26,10,32,1
5,1,1,1,8,1488,401,476,24,20,32,0
2,0,1,1,8,675,344,372,63,10,31,0
2,0,1,0,3,505,264,299,73,6,31,0
5,1,1,1,0,707,168,279,91,22,31,1
5,1,1,0,8,1325,290,379,49,12,31,0
3,1,4,0,8,329,243,289,34,10,31,0
3,1,1,0,8,572,411,406,23,17,29,0
2,1,1,0,0,426,228,233,55,14,35,0
3,1,1,1,0,171,106,137,57,5,31,1
2,1,1,1,8,1029,457,495,35,5,29,0
3,0,1,0,9,962,421,456,43,20,36,0
3,1,1,1,7,433,318,309,74,25,37,1
2,1,1,1,8,1485,647,688,22,10,31,1
2,1,1,0,6,759,371,408,58,17,31,0
5,1,1,1,8,722,188,251,42,7,29,1
3,1,1,1,8,338,290,299,23,5,28,0
3,1,1,1,8,314,250,279,54,6,28,1
4,1,2,1,8,676,393,426,48,6,30,0
4,1,1,1,1,423,217,264,85,14,34,0
4,1,1,0,8,668,243,291,53,20,34,0
2,1,1,0,2,317,228,238,38,12,29,0
5,1,1,0,8,913,299,403,35,15,31,0
4,1,1,1,8,315,259,312,27,15,31,0
5,1,1,1,3,1467,360,456,83,25,29,1
4,1,1,0,8,394,260,297,27,10,31,0
2,1,3,0,8,345,220,269,27,10,29,0
3,1,1,0,8,855,425,472,78,50,36,0
2,1,1,0,8,807,463,476,16,20,36,0
5,1,1,1,4,1109,372,427,52,15,31,0
4,1,1,0,8,1138,575,577,24,11,28,0
5,1,1,0,8,754,243,345,18,25,36,0
2,1,1,0,9,948,565,595,71,20,30,0
2,0,1,1,8,583,284,326,24,7,29,1
2,1,1,0,8,792,354,361,53,24,36,0
5,1,1,1,9,1790,601,630,77,10,29,1
4,1,1,0,4,1182,386,471,46,15,29,0
5,1,1,0,8,639,261,280,58,8,30,0
5,1,1,1,4,868,491,585,66,15,37,0
5,1,1,1,8,2411,394,437,57,10,17,0
5,0,1,0,8,632,220,241,15,20,37,0
4,1,1,0,8,0,0,0,57,15.77,34,0
5,1,1,1,7,2557,520,516,77,35,31,0
2,1,1,1,9,1903,864,876,78,30,34,0
2,0,1,0,1,539,269,307,44,16,31,0
2,1,1,1,8,2173,505,568,53,30,28,1
2,0,1,0,0,500,221,325,81,7,29,0
5,1,1,0,6,1342,488,503,40,20,29,0
5,1,1,0,7,1300,454,447,68,12,29,0
5,1,1,1,3,887,324,368,73,9,30,0
5,1,1,1,8,1212,216,261,21,50,32,1
4,0,1,0,8,508,239,292,29,6,29,0
5,1,1,0,8,841,304,354,41,7,32,0
5,0,1,1,1,633,252,295,55,25,32,1
4,1,1,1,1,353,255,286,53,15,35,1
4,0,1,0,6,1274,460,509,57,15,31,0
5,1,1,1,5,2241,428,470,95,20,22,1
4,1,1,1,6,277,147,160,84,17,30,0
5,1,1,1,8,5089,744,809,36,16,32,0
2,1,1,1,2,317,228,238,40,20,29,1
3,1,2,0,9,1142,474,542,50,40,29,0
5,1,1,1,4,1701,377,440,38,15,29,1
5,1,1,0,3,1719,319,381,37,17,31,0
2,1,1,0,7,984,389,446,62,16,33,0
4,1,1,1,8,1219,544,540,47,27,36,0
4,1,1,0,8,1195,619,639,19,7,31,0
5,1,1,1,8,2964,467,522,59,21,36,0
2,1,1,1,8,1270,247,325,59,5,30,0
2,1,2,1,4,583,284,326,50,15,30,1
2,1,1,1,2,756,279,318,114,16,17,1
5,1,1,1,8,2658,621,665,76,20,37,1
5,1,1,1,8,478,270,317,26,25,31,0
4,1,1,1,3,511,297,330,43,31,31,1
3,0,1,0,3,348,282,323,80,13,28,0
5,1,1,1,8,422,289,319,23,15,37,1
2,0,1,0,8,1628,695,774,15,20,37,0
4,1,1,1,8,2392,715,814,27,16,30,0
3,1,1,0,9,1044,522,612,68,50,37,0
5,1,1,0,3,2502,339,377,77,14,37,0
5,1,1,0,8,1810,607,639,34,9,31,0
3,1,1,1,8,569,401,419,19,15,37,0
4,1,1,0,7,607,406,359,70,23,37,0
2,1,1,0,8,1259,346,449,40,15,36,0
5,1,1,1,8,2821,668,767,25,10,28,0
4,0,1,1,8,370,332,293,68,6,29,0
2,1,1,1,9,4330,1500,1236,67,7,29,1
5,1,1,1,8,845,312,378,22,10,28,0
5,1,1,0,8,852,401,438,22,10,28,0
5,1,1,0,4,1194,389,413,74,15,31,0
4,1,1,0,8,781,372,466,37,20,28,0
5,1,1,0,6,1011,250,314,49,15,36,0
4,1,1,0,8,1033,542,628,41,8,31,0
5,1,1,1,8,2017,358,359,23,20,36,1
5,1,1,0,8,1024,601,635,27,11,29,0
5,0,1,1,8,687,213,283,28,5,31,0
4,1,1,1,4,501,321,366,84,20,30,0
4,1,1,1,8,796,318,382,16,15,36,0
4,1,1,1,8,367,207,232,16,15,37,1
2,0,1,0,6,1040,273,365,64,30,29,0
4,1,1,1,8,404,313,302,24,5,29,0
3,0,1,0,2,278,161,201,32,20,36,0
5,1,1,0,6,3130,461,517,84,19,37,0
2,0,1,1,8,431,220,264,24,16,32,0
5,1,1,1,8,913,488,495,65,10,28,1
5,1,1,0,8,785,315,332,25,20,32,0
5,1,1,1,8,1831,244,334,24,15,35,1
4,1,1,1,8,1420,649,788,35,15,36,0
5,1,1,0,4,639,308,313,53,12,31,0
4,1,2,0,8,469,298,334,29,20,37,0
5,1,1,1,7,2160,508,519,70,20,32,1
4,1,1,1,5,531,357,404,35,15,31,1
5,0,1,0,6,933,423,505,64,10,30,0
5,1,1,0,3,1766,333,416,74,26,32,0
2,1,1,1,7,1563,574,637,42,15,36,0
2,1,1,1,0,350,195,227,59,11,29,1
4,1,1,1,7,668,277,283,41,11,28,0
5,0,1,0,8,582,301,313,17,25,37,0
3,0,1,1,2,853,462,509,115,25,34,0
5,1,1,1,8,928,429,449,24,25,33,1
3,1,1,0,8,942,490,526,32,10,31,0
3,1,1,0,6,732,372,429,43,20,29,0
4,1,1,1,9,2013,879,938,70,20,31,0
5,1,1,0,8,2171,606,654,46,25,29,0
2,0,1,1,0,1114,193,320,60,15,31,0
4,1,1,1,8,707,537,572,58,7,32,0
3,1,1,1,0,394,172,211,93,15,18,0
5,1,1,1,8,1825,276,354,48,10,28,0
4,1,2,0,8,336,213,256,34,6,28,0
5,0,1,1,8,1194,360,400,32,10,32,1
5,0,1,0,8,705,305,312,17,15,30,0
5,1,1,1,5,1508,304,331,100,30,29,1
2,1,1,1,2,657,236,251,68,10,31,1
5,1,1,1,2,1240,501,582,116,12,32,1
4,1,1,0,8,982,639,703,62,16,33,0
4,1,1,0,8,527,438,451,78,20,31,0
5,0,1,0,8,553,219,262,56,12,31,0
3,1,1,1,1,614,259,345,80,15,30,1
5,1,1,0,4,1182,370,389,69,6,31,0
2,0,1,1,9,1611,580,635,102,25,17,1
2,1,1,1,8,582,179,238,50,5,35,0
2,1,3,1,8,687,393,459,29,7,17,1
4,1,1,0,8,1015,385,416,32,10,30,0
2,1,1,0,1,413,279,304,38,6,29,0
3,0,1,1,8,691,405,379,43,8,29,0
3,0,1,1,8,971,481,538,25,16,32,0
5,1,1,1,8,426,245,272,24,22,30,1
3,1,1,1,0,429,305,334,49,20,31,1
4,1,1,1,8,763,412,480,24,16,37,0
5,1,1,1,8,1905,534,569,46,7,30,1
5,1,1,1,7,3991,605,630,53,10,30,1
2,0,1,1,9,1173,420,504,58,5,31,0
5,1,1,1,0,1243,148,223,66,5,26,1
3,0,1,0,8,1219,563,649,20,10,31,0
5,0,1,1,6,2343,472,498,75,12,29,0
3,1,1,0,8,773,512,519,29,7,31,0
4,1,1,1,8,681,365,389,72,11,29,1
4,0,1,0,4,1134,348,361,41,25,19,0
2,1,1,1,8,3848,399,523,30,35,32,0
2,1,1,1,5,788,339,353,38,10,29,1
3,1,1,1,1,351,162,200,69,15,31,1
4,0,1,1,2,402,269,310,74,20,27,0
5,1,1,1,8,1611,318,351,31,10,28,1
5,1,1,1,9,5843,1500,1133,129,25,29,1
5,1,1,1,8,901,477,485,39,25,31,1
5,0,1,0,8,793,283,342,98,25,28,0
2,1,1,0,0,1059,586,619,40,10,29,0
4,1,1,1,4,860,381,456,73,8,32,0
4,0,3,1,8,343,281,324,21,20,36,0
4,1,1,1,8,277,194,228,31,25,19,1
5,1,1,1,8,2111,330,394,51,5,28,1
5,1,1,1,3,1318,289,282,55,15,29,1
5,1,1,1,8,1422,393,395,23,20,37,0
3,1,1,1,5,413,303,291,52,11,31,1
2,1,1,1,8,487,200,302,73,10,31,0
5,1,1,0,7,2544,541,604,69,20,33,0
2,1,1,1,9,2290,465,562,107,35,21,1
2,1,1,1,8,500,229,279,35,15,30,1
2,1,1,0,8,723,377,419,53,11,28,0
3,1,1,1,0,1194,408,525,68,20,36,0
2,1,1,0,7,750,412,443,66,25,28,0
4,1,2,1,1,336,195,241,59,15,35,0
2,1,1,1,8,628,257,300,56,11,18,1
2,1,1,0,8,728,429,457,29,15,31,0
5,1,1,0,6,1129,417,438,69,25,30,0
5,1,1,0,5,1852,407,461,43,5,30,0
2,0,1,1,3,679,229,268,52,10,30,0
2,1,1,1,8,732,291,335,25,10,33,0
5,1,1,1,8,2173,481,573,30,16,30,1
5,0,1,1,8,1458,504,581,24,11,31,0
5,1,1,0,9,3299,311,343,81,8,25,0
5,1,1,1,8,928,371,458,77,30,35,0
5,1,1,0,8,1045,388,384,32,20,37,0
2,1,1,0,8,2246,542,640,45,6,31,0
3,0,1,1,0,330,205,246,67,10,30,0
5,1,1,0,4,1028,487,539,62,15,36,0
4,1,1,1,1,342,190,230,83,12,30,1
4,1,1,1,8,675,380,414,12,15,34,0
5,0,1,0,8,2499,454,486,47,10,34,0
4,1,1,1,8,1215,488,507,17,25,37,0
2,1,1,0,8,1312,383,445,37,10,31,0
5,1,1,0,8,2215,472,520,50,6,30,0
2,1,1,0,8,729,211,254,81,8,28,0
4,1,1,1,1,437,250,302,70,50,33,0
4,0,1,1,4,703,274,388,38,30,29,0
3,0,1,0,3,414,263,291,61,20,28,0
2,1,1,1,8,573,278,319,20,12,31,0
3,1,1,1,8,628,243,282,21,10,28,1
5,1,1,1,8,3187,462,529,26,15,29,1
5,1,1,0,8,472,300,311,13,15,32,0
2,1,1,0,5,578,309,316,83,25,35,0
5,1,1,1,8,1058,353,398,44,6,28,1
2,1,1,0,8,1538,647,674,21,8,28,0
5,1,1,1,8,2228,379,397,29,10,28,1
5,0,1,0,8,2748,411,522,69,40,27,0
3,1,1,1,8,881,508,514,29,14,35,0
4,0,1,0,8,486,169,199,25,25,37,0
5,0,1,1,8,1709,316,367,80,21,33,0
5,1,1,1,8,717,321,362,19,11,28,1
2,0,1,1,8,366,208,245,27,25,30,0
3,0,1,1,1,439,260,301,96,11,18,1
1,0,1,1,8,564,308,358,50,10,31,0
5,1,1,0,8,2805,557,630,22,15,36,0
2,1,1,1,4,592,243,299,57,50,31,1
5,1,1,0,4,644,331,364,93,20,34,0
2,1,1,1,5,954,332,386,53,10,29,1
5,1,1,1,8,1557,416,500,30,16,33,0
2,1,1,1,3,462,252,296,69,40,36,0
4,1,1,1,0,427,152,157,61,7,29,1
5,1,1,1,2,1315,335,396,49,50,34,0
5,0,1,1,8,324,204,245,34,7,28,0
3,1,1,1,8,723,494,511,30,7,31,1
2,1,1,0,8,1707,469,523,83,17,34,0
3,1,1,0,1,414,218,258,46,20,34,0
4,1,1,0,8,292,260,307,40,6,34,0
5,1,1,1,9,5359,1109,1051,54,100,37,1
4,1,4,0,8,1050,538,618,21,20,34,0
4,1,1,1,9,1333,740,767,62,20,29,0
5,0,1,1,1,1038,254,304,58,10,33,1
2,1,1,1,8,1169,443,505,54,10,28,0
4,1,1,0,8,533,249,307,43,20,28,0
3,1,1,1,9,2923,1167,1096,71,13,28,0
4,1,1,0,9,4967,1500,1217,47,27,37,0
3,1,2,0,8,605,466,473,44,6,31,0
2,1,2,0,8,388,194,211,25,10,32,0
2,0,1,0,8,606,224,238,21,10,31,0
4,0,1,0,8,0,0,0,24,20,31,0
5,1,1,1,8,1295,531,614,26,20,31,0
5,0,1,1,8,486,304,375,31,20,24,0
5,1,1,1,1,664,326,355,68,12,30,1
2,1,1,0,3,589,268,300,49,15,29,0
3,1,1,1,1,613,223,316,76,12,36,0
4,1,1,1,8,1138,647,663,29,10,29,1
5,1,1,0,8,994,207,270,23,11,28,0
3,1,1,0,8,729,403,440,80,21,37,0
3,1,1,1,9,1369,685,743,55,30,31,0
5,0,1,0,4,651,330,361,70,5,28,0
2,1,1,0,5,570,309,345,50,15,29,0
3,1,1,1,1,553,188,226,74,12,28,1
5,1,1,1,4,979,353,439,52,18,36,0
5,1,1,0,8,684,243,307,15,15,37,0
5,0,1,0,7,2756,488,521,49,25,31,0
3,0,1,1,8,563,331,374,37,10,28,0
5,1,1,0,7,1891,534,525,90,25,23,0
3,1,1,1,8,362,168,227,33,7,28,0
3,1,1,0,8,287,173,221,19,15,28,0
2,1,1,0,8,841,349,392,21,8,31,0
4,1,1,0,2,537,248,307,75,11,19,0
4,1,1,0,5,512,363,385,78,15,30,0
2,0,1,1,6,704,196,294,103,32,17,0
5,1,1,1,5,2375,416,454,47,20,32,1
5,1,1,0,8,868,325,378,71,5,31,0
2,0,1,0,8,511,243,305,27,14,31,0
4,0,1,0,6,428,329,333,77,20,32,0
2,1,1,0,3,1063,269,323,53,50,37,0
5,1,1,1,4,1844,355,453,81,13,31,0
5,1,1,1,3,563,414,430,60,7,30,1
4,1,1,1,8,699,328,375,66,5,28,0
5,1,1,0,8,1239,348,452,18,25,37,0
2,1,1,1,8,245,91,130,34,10,35,1
4,0,1,0,7,3002,824,884,30,16,37,0
5,0,1,1,8,3131,595,649,72,6,30,0
3,1,1,1,8,414,211,257,33,6,37,0
4,1,1,1,7,776,347,411,157,27,17,1
5,1,2,1,8,566,344,368,34,20,37,0
5,1,1,0,7,2157,499,522,65,35,32,0
4,1,1,1,4,420,141,253,75,20,32,1
5,1,1,1,8,1955,466,543,37,10,32,1
5,1,1,1,8,503,228,289,33,20,30,0
3,1,2,1,8,1084,527,577,24,16,29,1
4,1,1,1,7,1137,461,468,68,10,29,1
4,1,1,1,7,1330,496,550,50,7,28,1
2,1,1,1,8,810,352,364,18,10,29,1
4,0,1,0,8,304,197,259,24,11,29,0
5,0,1,1,1,867,259,321,38,10,28,1
3,0,1,0,8,661,280,366,42,7,32,0
5,1,1,0,8,1406,436,447,24,25,31,0
5,1,1,1,8,1658,223,309,47,5,18,1
4,1,1,1,8,416,288,326,26,27,31,0
5,1,1,0,8,2232,517,532,11,15,34,0
